Wall time,Step,Value
1680534283.751931,3619,16.0
1680534297.1710823,3630,16.0
1680534326.1702156,3654,16.0
1680534329.8015175,3657,16.0
1680534332.255123,3659,16.0
1680534334.6984544,3661,16.0
1680534338.3955917,3664,16.0
1680534340.868708,3666,16.0
1680534343.3299232,3668,16.0
1680534346.9488513,3671,16.0
1680534348.1546564,3672,16.0
1680534370.0472243,3690,16.0
1680534382.1921284,3700,16.0
1680534390.75734,3707,16.0
1680534395.6046624,3711,16.0
1680534396.7977192,3712,16.0
1680534402.847681,3717,16.0
1680534404.0657017,3718,16.0
1680534407.7006984,3721,16.0
1680534421.1185997,3732,16.0
1680534422.3251321,3733,16.0
1680534436.9124625,3745,16.0
1680534438.090329,3746,16.0
1680534440.5500638,3748,16.0
1680534441.768381,3749,16.0
1680534445.4001577,3752,16.0
1680534446.6275277,3753,16.0
1680534447.8688862,3754,16.0
1680534456.3859463,3761,16.0
1680534458.8439472,3763,16.0
1680534461.2763617,3765,16.0
1680534475.8957555,3777,16.0
1680534479.5418143,3780,16.0
1680534480.7287378,3781,16.0
1680534481.9677932,3782,16.0
1680534483.1948736,3783,16.0
1680534488.0322783,3787,16.0
1680534491.6790557,3790,16.0
1680534509.8439384,3805,16.0
1680534512.250674,3807,16.0
1680534519.6036718,3813,16.0
1680534522.0208044,3815,16.0
1680534526.8952663,3819,16.0
1680534531.7672374,3823,16.0
1680534532.9621406,3824,16.0
1680534551.296915,3839,16.0
1680534562.239143,3848,16.0
1680534564.6744745,3850,16.0
1680534567.1348162,3852,16.0
1680534570.771674,3855,16.0
1680534573.2127101,3857,16.0
1680534576.8668342,3860,16.0
1680534587.8589468,3869,16.0
1680534591.4718244,3872,16.0
1680534595.169708,3875,16.0
1680534621.7476385,3897,16.0
1680534627.7296112,3902,16.0
1680534634.9698074,3908,16.0
1680534638.6298518,3911,16.0
1680534643.5115151,3915,16.0
1680534650.7957447,3921,16.0
1680534654.4093232,3924,16.0
1680534656.8418415,3926,16.0
1680534659.2979777,3928,16.0
1680534662.9497237,3931,16.0
1680534665.3115766,3933,16.0
1680534669.0547552,3936,16.0
1680534689.64677,3953,16.0
1680534690.8881302,3954,16.0
1680534694.5660162,3957,16.0
1680534704.2221503,3965,16.0
1680534705.419632,3966,16.0
1680534716.2566519,3975,16.0
1680534717.4719555,3976,16.0
1680534723.6088033,3981,16.0
1680534724.7826266,3982,16.0
1680534725.9766157,3983,16.0
1680534729.6664572,3986,16.0
1680534736.8934886,3992,16.0
1680534742.9604392,3997,16.0
1680534749.810253,4000,18.0
1680534759.535211,4008,18.0
1680534764.3946476,4012,18.0
1680534766.8954809,4014,18.0
1680534778.1481347,4023,18.0
1680534784.2755811,4028,18.0
1680534791.7167063,4034,18.0
1680534792.958663,4035,18.0
1680534799.105481,4040,18.0
1680534807.6783576,4047,18.0
1680534816.3431542,4054,18.0
1680534823.7786558,4060,18.0
1680534827.530742,4063,18.0
1680534830.048588,4065,18.0
1680534831.2767394,4066,18.0
1680534839.9125342,4073,18.0
1680534850.2101033,4081,18.0
1680534851.4692426,4082,18.0
1680534853.897674,4084,18.0
1680534859.005131,4088,18.0
1680534864.0036154,4092,18.0
1680534870.1803613,4097,18.0
1680534884.8640842,4109,18.0
1680534892.220506,4115,18.0
1680534899.584572,4121,18.0
1680534903.2185924,4124,18.0
1680534910.6716514,4130,18.0
1680534925.3760638,4142,18.0
1680534930.2535946,4146,18.0
1680534938.9294,4153,18.0
1680534942.6624038,4156,18.0
1680534956.0630722,4167,18.0
1680534968.3013856,4177,18.0
1680534969.5264454,4178,18.0
1680534973.2418723,4181,18.0
1680534980.6044288,4187,18.0
1680534986.6604304,4192,18.0
1680535005.0302603,4207,18.0
1680535006.2743366,4208,18.0
1680535016.147289,4216,18.0
1680535022.2876017,4221,18.0
1680535029.6468327,4227,18.0
1680535032.0841756,4229,18.0
1680535033.3047216,4230,18.0
1680535040.6945796,4236,18.0
1680535053.0342643,4246,18.0
1680535056.748374,4249,18.0
1680535059.2269447,4251,18.0
1680535060.4724476,4252,18.0
1680535061.6696358,4253,18.0
1680535066.6405797,4257,18.0
1680535078.8372464,4267,18.0
1680535080.0758758,4268,18.0
1680535082.514739,4270,18.0
1680535094.7822535,4280,18.0
1680535096.0074284,4281,18.0
1680535116.8413064,4298,18.0
1680535125.5146747,4305,18.0
1680535130.491832,4309,18.0
1680535141.5054455,4318,18.0
1680535147.6820543,4323,18.0
1680535154.0222418,4328,18.0
1680535161.3931599,4334,18.0
1680535172.375562,4343,18.0
1680535177.4646444,4347,18.0
1680535182.5073528,4351,18.0
1680535186.1494339,4354,18.0
1680535193.540064,4360,18.0
1680535199.7503734,4365,18.0
1680535207.0933123,4371,18.0
1680535213.1514785,4376,18.0
1680535216.908471,4379,18.0
1680535218.1057243,4380,18.0
1680535226.8474648,4387,18.0
1680535236.5408096,4395,18.0
1680535246.2741163,4403,18.0
1680535251.310828,4407,18.0
1680535254.9424157,4410,18.0
1680535258.6202939,4413,18.0
1680535259.8058004,4414,18.0
1680535269.6039832,4422,18.0
1680535272.084216,4424,18.0
1680535285.5280433,4435,18.0
1680535295.3158317,4443,18.0
1680535302.783207,4449,18.0
1680535308.9689047,4454,18.0
1680535313.9018996,4458,18.0
1680535323.7483044,4466,18.0
1680535352.0383637,4489,18.0
